geneID	control 1	control 2	hht 1 .1	hht 1.2	hht 2.1	hht 2.2	hht 3.1	hht 3.2
AC073130.3	3.44254007777323	3.554619758256166	1.49242065874772	1.9285979218114064	1.8724704070366422	1.8276973503648895	2.277801737456784	2.016746978416096
ACVRL1	8.75018896531106	8.653990973219955	-5.592370347744679	-5.502626518082374	-5.390162992947423	-5.304129503327325	-5.573911844452663	-5.506874529138144
ALDOC	3.5624326028555906	3.578117652056379	2.335686387182012	2.537435672679257	1.7939280434573779	1.8276973503648895	2.3852668734911537	2.471474971417372
AR	4.734646453673049	4.735843612664198	3.278387864416555	3.5133598031354336	3.602844355907724	3.585952483968311	3.6642486149347704	3.6244369809032797
CAND2	3.8569473496729594	4.084054249922629	2.749242205047517	2.7438602415957445	2.4858701804563794	3.0847186031317833	2.6012691155748153	2.784017170891364
CBX8	2.9601185049035217	2.717914586877123	1.074558223869616	1.213159700107323	1.599816635370534	1.7367412621896967	1.5496217656112776	1.5567385978140191
CEBPD	3.787777688992586	3.806165585587861	2.6153749333553677	2.599488332749871	2.8090678333927093	2.8002575933147993	2.666635611097264	2.7505729946337256
CENPK	2.2757620905754274	2.4386961500350774	3.3220172440168345	3.299465941320083	3.6537699651922226	3.484771854895	3.51251093850649	3.4109083027790197
COL8A2	3.5251400229112893	3.3349812201902043	1.099844205663838	1.3874336422822573	2.133938102874154	2.2456694229582856	1.2700805879256416	1.6503832316757971
CXCL16	4.228656859116445	4.090604661197578	3.1267271576689137	2.697323261738422	2.788959085321036	2.4165712906529326	2.084056165110151	2.4192194148800574
ENG	7.158647047081384	7.32377921425066	-5.592370347744679	-5.502626518082374	-5.390162992947423	-5.304129503327325	-5.573911844452663	-5.506874529138144
ERCC2	6.9132740903893675	7.056114822904113	6.008287036899583	6.033681657712517	5.82465750475963	5.860377305266707	5.727720772501864	5.7768695117543425
EVA1A	4.56587065414082	4.34462966805334	5.783884079349994	5.760217997896617	5.31104966756245	5.473547561853734	5.657104760320451	5.61090480635453
GFPT2	5.40002461089688	5.576401125469768	2.0928515953302225	2.3088985495614	2.6620391700837605	2.7889835556991134	0.007802329854754884	1.2082383016405773
GOLGA8A	-0.05725525477494808	0.1865529621346955	3.2447775362226974	3.4697241680565676	3.7813881066036865	3.686587870147085	3.2606310559600304	3.529035517154417
HENMT1	-0.23779725091370593	-0.5671195339877482	1.8312184260991398	1.644519991743819	1.8139681297066825	2.0517674015885095	1.8032000962945576	1.959351461843725
HERC2P3	4.547389238410671	4.539160597449972	1.947210511078981	1.9123910948044447	2.000401472535612	2.401844795758772	1.2128775786722152	1.2326675966298772
HK2	4.187476560069688	4.65196621218671	3.221927604425014	3.25517282122269	3.3311350852526367	3.4057856259861388	2.989739477170012	3.1601923543571284
HMMR	2.789760298416322	2.937292971944663	3.851198099735528	4.027634210476367	3.9218995193071957	3.884942495818668	3.7572087009425372	3.8622051790874967
ITGA10	5.469156258832081	5.488609415416772	4.200006623050025	4.129295284312347	4.272631404354202	4.054592842542504	4.344756639096852	4.103178738376348
MACROD1	4.726455165020695	4.502787638292601	3.5546898704268024	3.2806494410287863	3.513757737564505	3.505583639570278	3.2816468705236144	3.216394406261437
METRN	4.490480541223988	4.347367278848753	3.1751124985638133	2.932471297072303	3.4702232695124446	3.2418145625539045	3.6209289630228665	3.442668663167612
MMP24	3.8939886703551223	3.790157295921219	1.49242065874772	1.4561260262638018	1.8139681297066825	2.1953183033067267	0.6913835642250123	0.7134917353026237
NSG1	3.0934852990139166	3.0757934409079266	0.664245666193172	1.1315046840712946	1.0433322265989193	1.4233944357153447	0.31011990642819437	1.1581025629380006
NUPR1	3.317238301178027	3.664074124291659	4.9281097044694215	4.927326808815098	4.666248463020146	4.807537668458812	5.20974219800491	5.077180605510372
PKD1P5	2.3838764565917048	2.332168497274895	0.483929203110471	0.7849961632117666	0.5645666609186144	0.4077591711866042	0.13642501317900804	0.2699075589282966
PRKCDBP	4.863491126269725	4.519875865877706	5.796504834092459	5.647240105215158	5.912084641275429	5.754235263503763	5.62731407794373	5.47031789969694
PRUNE2	3.8606945725234207	3.8798694936358684	4.8047519611739515	4.765323875148534	4.961759658212514	5.0416676215024525	5.236897130246764	5.224529303385265
PSAT1	5.0782587403431725	5.123731386910903	3.508230714575086	3.60696655111036	4.1830154541885705	4.189326208786764	3.904478626602687	3.7858452201342234
PTCHD4	3.180009655997789	2.8550405890129404	4.090741298694183	4.020091057902034	4.235965497919327	4.206376174559412	4.371141229685079	4.292276397075899
RP1-140K8.5	6.121454294026066	6.195762390999151	5.030283270955117	5.144086053458423	5.121044003106509	5.053493700712629	4.852877076135514	4.68862988139588
RP11-667F14.1	3.4325040380693865	3.3183339577665505	1.49242065874772	1.4106964156185011	2.0687142642870158	2.032776000824666	1.3518449014059388	1.4145007607704134
SERPINB9P1	2.614424028129905	2.5185941024156686	0.8839400160386608	1.2393823393402146	1.5288403577885528	1.3331341487290522	1.0262545206332812	0.7477963904563725
